ville;latitude;longitude
Valempoulieres;46.828094158;5.873941085
Vannoz;46.773442847;5.912066795
Le Vaudioux;46.687569019;5.928396074
Vaux Sur Poligny;46.82299081;5.7271541290000005
Vernantois;46.627807899;5.578234652
Vescles;46.358013539;5.611305625
Vevy;46.666549203;5.663880123
Villards D Heria;46.406275962;5.73542808
Villeneuve Sous Pymont;46.69523902;5.552303453
Villers Farlay;46.993775096;5.760324831
Vincent Froideville;46.79367224;5.482371739
Voiteur;46.743655872;5.602606518
Vriange;47.18360525;5.584358464
Ahuy;47.371214576;5.020496119
Aignay Le Duc;47.671659569;4.751193926
Allerey;47.19024207;4.420607175
Aloxe Corton;47.068008045;4.86156952
Antigny La Ville;47.101459482;4.559930499
Arceau;47.376096012;5.196336831
Arnay Sous Vitteaux;47.437236808;4.498765424
Aubaine;47.130283617;4.733758442
Avot;47.616734359;5.007235333
Baulme La Roche;47.347733364;4.793730043
Bellenot Sous Pouilly;47.286821843;4.546193821
Bessey En Chaume;47.088015422;4.742875853
Bessey Les Citeaux;47.145631552;5.147537611
Bissey La Cote;47.912010101;4.706966857
Bissey La Pierre;47.843100453;4.426207708
Source Seine;47.488803885;4.696760719
Bligny Les Beaune;46.981841328;4.83078393
Bligny Sur Ouche;47.114906921;4.684266306
Bouix;47.899266371;4.468838468
Brain;47.463090644;4.505321596
Braux;47.410359424;4.418554279
Brianny;47.412152598;4.374237142
Buffon;47.656080482;4.274404797
Cessey Sur Tille;47.282556445;5.229085175
Chailly Sur Armancon;47.273253678;4.477709
Chambain;47.79513604;4.918708604
Chamesson;47.783268513;4.541453803
Champ D Oiseau;47.554443111;4.347541103
Charmes;47.372195692;5.350008878
Charrey Sur Saone;47.099107946;5.154042673
Chatillon Sur Seine;47.858369131;4.591958657
Chaudenay Le Chateau;47.179758123;4.642522175
Chaugey;47.745545857;4.949646789
Chaumont Le Bois;47.933853839;4.593057339
Valforet;47.245760939;4.866785936
Clery;47.295734009;5.50123924
Collonges Et Premieres;47.228638946;5.291997765
Combertault;46.99156924;4.903258281
Comblanchien;47.102585062;4.918586014
Commarin;47.249135548;4.652508683
Corpoyer La Chapelle;47.548960885;4.609722066
Courtivron;47.534415573;4.95287413
Crecey Sur Tille;47.570003665;5.141515403
Curley;47.203708131;4.910342158
Dienay;47.521595466;5.059769608
Dijon;47.322850621;5.037471304
Eguilly;47.301451523;4.500483593
Eringes;47.588539264;4.467532468
Etalante;47.629318672;4.766439896
Etevaux;47.323005489;5.322056752
Etormay;47.597679495;4.581363598
Faverolles Les Lucey;47.827429144;4.866005642
Flacey;47.434258335;5.135486762
Flavigny Sur Ozerain;47.509014232;4.518814817
Le Val Larrey;47.433067236;4.320016084
Fleurey Sur Ouche;47.300305297;4.863873416
Foncegrive;47.617293647;5.143105989
Gevrey Chambertin;47.220053292;4.982552955
Gilly Les Citeaux;47.17760782;4.997427841
Grancey Le Chateau Neuvelle;47.673623157;5.024479447
Grancey Sur Ource;47.999372429;4.577357112
Gresigny Ste Reine;47.551568194;4.496237286
Jouey;47.158291874;4.43763018
Jours Les Baigneux;47.625090219;4.604121726
Juillenay;47.361757374;4.271783053
Labergement Les Auxonne;47.159922549;5.379729648
Lamargelle;47.520315127;4.837284317
Lantenay;47.34391981;4.865525397
Laperriere Sur Saone;47.106852648;5.345970133
Larrey;47.897111685;4.424910489
Longeault Pluvault;47.211203965;5.246810478
Lucey;47.852249374;4.862922237
Magny Lambert;47.679433815;4.585917585
Magny Les Aubigny;47.111881596;5.169002847
Maisey Le Duc;47.845075059;4.675938717
Marcellois;47.348892074;4.6158959710000005
Marigny Les Reullee;47.008430095;4.95773717
Mavilly Mandelot;47.060963164;4.730776438
Merceuil;46.953949309;4.848345096
Millery;47.513640521;4.317826038
Moitron;47.681931213;4.808446076
Montagny Les Beaune;46.985757587;4.853444653
Montigny Mornay Villeneuve Vingeanne;47.568488741;5.450612855
Montigny Mornay Villeneuve Vingeanne;47.568488741;5.450612855
Montlay En Auxois;47.331568537;4.267753395
Montoillot;47.27226081;4.657937913
Mont St Jean;47.28565988;4.411433989
Moutiers St Jean;47.562129289;4.225073082
Neuilly Crimolois;47.273535518;5.112727427
Nod Sur Seine;47.77285353;4.59824463
Noiron Sous Gevrey;47.188864915;5.08508035
Nuits St Georges;47.14659194;4.938547235
Orgeux;47.364558205;5.15151447
Orret;47.60887188;4.701250579
Orville;47.560887274;5.217741354
Pasques;47.377799819;4.851793
Poiseul Les Saulx;47.577930533;4.98200027
Pontailler Sur Saone;47.30183098;5.412855754
Pont Et Massene;47.469033929;4.358028888
Posanges;47.421600843;4.526209252
Pouillenay;47.503297238;4.460638979
Precy Sous Thil;47.401240858;4.3167685
Puligny Montrachet;46.947091788;4.759109401
Remilly En Montagne;47.290328508;4.729283169
Reulle Vergy;47.188519649;4.8964774040000005
Riel Les Eaux;47.98893583;4.680413288
La Roche En Brenil;47.381808962;4.171292015
Saffres;47.366544356;4.580822499
St Germain Le Rocheux;47.755701686;4.66250177
St Pierre En Vaux;47.056499669;4.529292945
St Remy;47.651551426;4.301138244
Ste Sabine;47.187339843;4.621206885
St Seine En Bache;47.116270528;5.377231654
Samerey;47.089991272;5.364989001
Saulon La Rue;47.226273938;5.049911015
Saulx Le Duc;47.55047575;5.021936931
Savigny Le Sec;47.433787821;5.042452703
Savilly;47.121776524;4.278323511
Savolles;47.377255728;5.275276086
Selongey;47.594872957;5.199699518
Soirans;47.210269406;5.298465765
Soussey Sur Brionne;47.326939684;4.533826433
Sussey;47.214701115;4.372495889
Tailly;46.965383102;4.817096603
Tellecey;47.290368051;5.298321457
Ternant;47.200068883;4.833483748
Thoires;47.941219611;4.682348955
Thury;47.028255345;4.527385032
Tillenay;47.18956268;5.351594816
Trouhaut;47.391005002;4.763312049
Urcy;47.264348371;4.846753784
Vannaire;47.915596751;4.5698607540000005
Vanvey;47.841883898;4.72633461
Velars Sur Ouche;47.31841782;4.909254473
